seller_id,product_category_name,orders_count,avg_delay_hours,median_delay_hours
df683dfda87bf71ac3fc63063fba369d,moveis_decoracao,1,4025.001944448799,4025.001944448799
ad420dd0c4f92f8af951ac24b86d0cf5,brinquedos,1,2874.2077777795494,2874.2077777795494
82e0a475a88cc9595229d8029273f045,,1,2701.9050000049174,2701.9050000049174
2a1348e9addc1af5aaa619b1a3679d6b,ferramentas_jardim,1,2509.6377777792513,2509.6377777792513
9b522ba7eae9e1d04082f267144583cc,moveis_decoracao,1,1933.9694444462657,1933.9694444462657
acadd4d36859671cb635527c6c977533,automotivo,1,1349.202500000596,1349.202500000596
c1f12f926d0ba950578b4fa41115cbb6,esporte_lazer,1,956.9127777814865,956.9127777814865
7bac63f6603d382cc8d0832eb6c100a8,beleza_saude,1,859.782777775079,859.782777775079
8e670472e453ba34a379331513d6aab1,automotivo,1,857.1527777798474,857.1527777798474
8629a7efec1aab257e58cda559f03ba7,informatica_acessorios,1,811.3886111117899,811.3886111117899
18a349e75d307f4b4cc646a691ed4216,instrumentos_musicais,1,715.7416666634381,715.7416666634381
8d92f3ea807b89465643c219455e7369,utilidades_domesticas,1,660.7797222174704,660.7797222174704
ebef8d8c92b4fd3226e5d407bbff21ac,esporte_lazer,2,637.3436111100018,637.3436111100018
2eb70248d66e0e3ef83659f71b244378,eletronicos,1,612.696111112833,612.696111112833
be1e9e378700cecaa4ebf71433d7915c,,2,582.3220833353698,582.3220833353698
391bbd13b6452244774beff1824006ed,esporte_lazer,1,576.6644444391131,576.6644444391131
0be8ff43f22e456b4e0371b2245e4d01,moveis_decoracao,1,573.3741666711867,573.3741666711867
8ca1551acf9832a4cf467bbbac15851f,casa_construcao,1,550.6788888908923,550.6788888908923
8fec2e460530482132c436cfb5439925,brinquedos,3,138.25800000205635,547.9422222264111
d3dcf0604eabf0224fbd5948b5e02f69,musica,1,547.9274999946356,547.9274999946356
586a871d4f1221763fddb6ceefdeb95e,moveis_decoracao,1,542.2494444474578,542.2494444474578
955fee9216a65b617aa5c0531780ce60,eletroportateis,1,505.45083333179355,505.45083333179355
0d83f8e03188682112cc0d93523705cc,informatica_acessorios,3,161.1664814837277,498.04888889193535
87142160b41353c4e5fca2360caf6f92,utilidades_domesticas,1,497.85694444924593,497.85694444924593
8c3b533c63cca56240f94f1e3a6b18ef,moveis_decoracao,2,459.40361110679805,459.40361110679805
054694fa03fe82cec4b7551487331d74,utilidades_domesticas,1,444.559444449842,444.559444449842
5b8154610ebb21fb90eb587365e673df,automotivo,1,425.41333333030343,425.41333333030343
20d53aad4fe5ee93a64f8839609d3586,ferramentas_jardim,1,424.98083332926035,424.98083332926035
2a50b7ee5aebecc6fd0ff9784a4747d6,construcao_ferramentas_construcao,1,423.45055555924773,423.45055555924773
a154d7316f158bb42e6fa18bbe3afd3a,,2,413.7562499977648,413.7562499977648
6524b847b982cd56bb5d4b02b776ee42,informatica_acessorios,1,403.64527778327465,403.64527778327465
427165bf50f8ca07efc7bdc2bfcf1688,beleza_saude,5,445.76577777788043,403.3122222237289
685b870da5b52a710782c9c0fefbeb5b,instrumentos_musicais,2,401.9711111113429,401.9711111113429
6d04126aba80df143fd038e711b8fd96,esporte_lazer,1,400.7266666665673,400.7266666665673
c7b7db6c8f3c64a7cc1afa634db21d50,utilidades_domesticas,1,399.61111111566424,399.61111111566424
2379bdc3888025689a9deb7b141507d5,beleza_saude,2,390.92541667073965,390.92541667073965
c004e5ea15737026cecaee0447e00b75,eletrodomesticos_2,1,380.26055555418134,380.26055555418134
fce62094ffe6a4009188ec44e681dfdd,moveis_decoracao,2,131.4530555550009,371.47722221910954
5abb8ea023c77787f2c15da891c8d384,construcao_ferramentas_construcao,1,358.6958333328366,358.6958333328366
5acd070dd3fe441bbb2ec1f1ede515ee,eletronicos,3,550.5913888849318,358.47611110657454
1336efc61c316ddf92c899eb817f7cae,papelaria,1,357.492499999702,357.492499999702
ca5832c6960267b71041f74bb39e8b12,musica,1,357.05472222715616,357.05472222715616
9c57bc60cfad5ee62d35d3f1ce4593a1,pet_shop,1,350.30277778208256,350.30277778208256
2a1348e9addc1af5aaa619b1a3679d6b,consoles_games,3,1364.61361111328,348.1625000014901
e4f121bf6ef8b9a1d4d3e65dd0473fab,esporte_lazer,1,335.5261111110449,335.5261111110449
8a40ae794fa3f9892cee24bd5af0488b,fashion_bolsas_e_acessorios,1,332.2925000041723,332.2925000041723
15aac934c58d886785ac1b17953ea898,climatizacao,3,301.96826389152557,331.7600000035018
da2782c804606d2a5d8e1760dbb3e7ec,bebes,1,331.4666666686535,331.4666666686535
099095b050cfe8eb1ddff5317587e96e,cool_stuff,1,329.7777777761221,329.7777777761221
e99e927c81e3f51739c94fcdfca9f10f,utilidades_domesticas,1,326.70472222566605,326.70472222566605
