seller_id,product_category_name,customer_zip_code_prefix,payment_type,purchase_weekday,purchase_hour,purchase_month,total_orders,avg_purchase_to_approve,avg_approve_to_carrier,avg_carrier_to_customer,avg_lateness,late_rate
7a67c85e85bb2ce8582c35f2203ad736,cool_stuff,22723,credit_card,5,14,02,1,0.3108333349227905,75.54805555567145,4924.583333339542,4535.401944447309,1.0
2a1348e9addc1af5aaa619b1a3679d6b,automotivo,29890,boleto,2,23,02,1,27.063333336263895,323.20861111208797,4680.814722217619,4358.610833331943,1.0
cb41bfbcbda0aea354a834ab222f9a59,casa_construcao,13327,credit_card,3,09,01,1,0.787222221493721,807.2869444414973,3787.0508333332837,4220.858611106873,1.0
df683dfda87bf71ac3fc63063fba369d,moveis_decoracao,13142,boleto,1,20,03,1,0.0,83.11194444447756,4473.603888887912,4025.001944448799,1.0
c847e075301870dd144a116762eaff9a,instrumentos_musicais,49400,credit_card,3,22,03,1,0.0,10.094444442540407,4661.112222220749,3998.0011111088097,1.0
2a1348e9addc1af5aaa619b1a3679d6b,consoles_games,66813,credit_card,2,23,03,1,25.195000000298023,155.8097222149372,4514.211666673422,3975.2138888910413,1.0
054694fa03fe82cec4b7551487331d74,eletrodomesticos_2,38170,credit_card,3,23,03,1,0.0,135.45222221687436,4370.400000002235,3905.240277774632,1.0
cac4c8e7b1ca6252d8f20b2fc1a2e4af,utilidades_domesticas,9851,voucher,1,13,06,1,0.18333333358168602,97.32388889417052,4107.864444438368,3882.6080555543303,1.0
7e93a43ef30c4f03f38b393420bc753a,relogios_presentes,64013,credit_card,4,13,03,1,0.0,304.02138889208436,4353.168611112982,3878.6391666680574,1.0
e83c76265fc54bf41eac728805e4da77,automotivo,49037,boleto,3,11,03,1,0.0,22.080277785658836,4493.150555547327,3830.6383333280683,1.0
a7f13822ceb966b076af67121f87b063,moveis_escritorio,64023,credit_card,3,18,03,1,0.0,110.75000000372529,4565.654166664928,3734.554722223431,1.0
9c0e69c7bf2619675bbadf47b43f655a,informatica_acessorios,97010,credit_card,3,19,05,1,24.22416666895151,15.585277777165174,4343.985833331943,3730.9458333291113,1.0
6a8b085f816a1f75f92dbac6eb545f8f,automotivo,12316,boleto,3,15,11,1,44.36083333566785,80.28138888627291,4030.5588888823986,3690.371666662395,1.0
7c67e1448b00f6e969d365cea6b010ab,moveis_escritorio,95890,credit_card,5,12,03,1,0.0,101.92833333089948,4367.754166670144,3690.221944447607,1.0
8b28d096634035667e8263d57ba3368c,utilidades_domesticas,73813,boleto,2,14,02,1,36.982222214341164,14.136666666716337,4294.333611119539,3664.3961111158133,1.0
cca3071e3e9bb7d12640c9fbe2301306,moveis_decoracao,68901,credit_card,4,11,03,1,0.0,116.77861110493541,4376.104166675359,3472.4827777817845,1.0
1f50f920176fa81dab994f9023523100,ferramentas_jardim,22753,credit_card,6,23,11,1,0.12583334371447563,65.19833332300186,3894.9163888916373,3432.1055555529892,1.0
aac29b1b99776be73c3049939652091d,cool_stuff,45400,credit_card,2,23,04,1,0.15472222119569778,19.164722219109535,4003.11583333835,3325.785833336413,1.0
4a3ca9315b744ce9f8e9374361493884,casa_conforto,59380,boleto,3,13,03,1,12.206944439560175,13.988611109554768,4150.958333339542,3303.1191666685045,1.0
4fb41dff7c50136976d1a5cf004a42e2,relogios_presentes,65735,credit_card,5,21,02,1,22.528333336114883,100.89999999850988,3910.5588888935745,3239.6305555589497,1.0
ebd2d60905fb58271facef5596b620d3,beleza_saude,41925,credit_card,2,16,04,1,0.18611111864447594,22.235833324491978,4008.2280555590987,3230.9694444425404,1.0
1782ce2db72c3dda627d5e7c898104e1,esporte_lazer,69308,credit_card,5,15,03,1,0.1922222189605236,71.3427777774632,4059.813611112535,3186.412777774036,1.0
3340ef1913fb70d28420f6ceb685c339,informatica_acessorios,60125,credit_card,2,10,04,1,0.1505555547773838,28.482222229242325,4007.733055550605,3183.1386111080647,1.0
8160255418d5aaa7dbdc9f4c64ebda44,cama_mesa_banho,29724,credit_card,3,12,02,1,0.29972221702337265,53.38361111283302,3502.5047222301364,3040.6988888941705,1.0
eebb3372362aa9a46975164bed19a7e7,telefonia,52090,voucher,4,12,04,1,0.18194445222616196,23.545277774333954,3963.6744444407523,2968.39777777344,1.0
fe2032dab1a61af8794248c8196565c9,perfumaria,17670,credit_card,6,17,06,1,0.19472221657633781,42.92472222447395,3439.7880555577576,2924.799444448203,1.0
fe2032dab1a61af8794248c8196565c9,perfumaria,17670,voucher,6,17,06,1,0.19472221657633781,42.92472222447395,3439.7880555577576,2924.799444448203,1.0
ad420dd0c4f92f8af951ac24b86d0cf5,brinquedos,40243,credit_card,3,10,04,1,21.681111115962267,173.16361111029983,3316.668888889253,2874.2077777795494,1.0
82e0a475a88cc9595229d8029273f045,,75908,boleto,5,16,04,1,10.24666666612029,251.39916667342186,3191.7916666679084,2701.9050000049174,1.0
0c8380b62e38e8a1e6adbeba7eb9688c,cama_mesa_banho,45201,credit_card,0,17,04,1,45.23250000178814,192.7441666647792,3169.3655555583537,2680.8250000029802,1.0
95e03ca3d4146e4011985981aeb959b9,moveis_decoracao,60865,credit_card,6,12,11,1,0.3072222210466862,77.77916666865349,3341.117222227156,2663.447500001639,1.0
ea8482cd71df3c1969d7b9473ff13abc,telefonia,44720,credit_card,3,14,11,1,7.551944442093372,117.15027777850628,3122.920277774334,2637.876666661352,1.0
53e4c6e0f4312d4d2107a8c9cddf45cd,moveis_decoracao,22710,credit_card,2,18,09,1,0.22611111402511597,69.56583332642913,3101.043611112982,2637.428611110896,1.0
93dc87703c046b603023e75222018b45,relogios_presentes,29278,credit_card,1,06,05,1,0.13805555552244186,270.2825000099838,3171.453888885677,2560.687222223729,1.0
